ID,GENUS,SPECIES,SUB,GROUP,MUSEUM,IDORI,SEX,LOCALITY2
B12150,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,120 km S de
B12158,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12143,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,120 km S de
B12146,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12147,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12157,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,126 km S de
B12149,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,170 km S de
B12135,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,70 km S de T
B12139,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,70 km S de T
B21598,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Base de Apoi
B21595,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Belém, Pa (d"
B11845,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Canoal, 30 k"
B12375,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Canoal, Tucu"
R23209,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,F,Estrada Bel
B12346,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha da Band
B12352,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
B12355,Alouatta,belzebul,belzebul,,MPEG,A. belzebul,F,Ilha Tocanti
B12357,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha Tocanti
B12359,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
B12364,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha Tocanti
B12365,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
R21092,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,"Maiandeua, M"
R31325,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,Maranhão
R23190,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,F,"Paragominas,"
R23136,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,"Santa Luzia,"
B23061,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,São Felix do
B12151,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,"Saúde, Tucur"
B12152,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Saúde, Tucur"
B11830,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Serra de Car
B12156,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Timbosal, Tu"
B12385,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Vale do Cara
B12381,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Vale do Cara
B12383,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Vale do Cara
B12384,Alouatta,belzebul,belzebul,,MPEG,A. belzebul,F,Vale do Cara
B12386,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Vale do Cara
B12389,Alouatta,belzebul,belzebul,,MPEG,A. belzebul,F,Vale do Cara
B12394,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Vale do Cara
B12396,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Vale do Cara
R11603,Alouatta,belzebul,discolor,,MNRJ,A.b discolor,M,Afl. dir Rio
RJ4729,Alouatta,belzebul,discolor,,MNRJ,A.b discolor,F,"Fordlândia,"
RJ2759,Alouatta,belzebul,discolor,,MNRJ,A.b discolor,F,Mato Grosso
R31340,Alouatta,belzebul,discolor,,MNRJ,A.b discolor,F,Porto de Moz
R24110,Alouatta,belzebul,discolor,,MNRJ,A.b discolor,M,Porto do Moz
BE8126,Alouatta,belzebul,nigerrima,,MPEG,A.b nigerrim,M,Transamazôni
R23142,Alouatta,belzebul,ululata,,MNRJ,A.b.ululata,M,"Bom Jardim,"
B21974,Alouatta,belzebul,ululata,,MPEG,A.b.ululata,F,Ig. Das Palm
B23047,Alouatta,belzebul,,,MPEG,A. belzebul,M,Barra do Cor
S24833,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Bom Jardim,"
SP7110,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Bom Jardim,"
SP8936,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Br 010, km 9"
SP8937,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Br 010, km 9"
SP8939,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Br 010, km 9"
B13251,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Br 165, km 4"
BE8463,Alouatta,belzebul,,,MPEG,A. belzebul,F,br-165 Santa
BE8464,Alouatta,belzebul,,,MPEG,A. belzebul,F,br-165 Santa
BE8473,Alouatta,belzebul,,,MPEG,A. belzebul,M,br-165 Santa
BE8492,Alouatta,belzebul,,,MPEG,A. belzebul,F,br-165 Santa
SP8067,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Cachimbo, Pa"
S10489,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Cametá, Pa"
SP5407,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Cametá, PA"
S10565,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Caxiricatuba
SP5565,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Caxiricatuba
SP5570,Alouatta,belzebul,,,MZUSP,A. belzebul,F,Caxiricatuba
SP6022,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Caxiricatuba
SP5328,Alouatta,belzebul,,,MZUSP,A. belzebul,F,Caxiricatuba
S18967,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Fordlândia,"
S18971,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18977,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18980,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Fordlândia,"
S18981,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18984,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18986,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18987,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Fordlândia,"
S18989,Alouatta,belzebul,,,MZUSP,A. belzebul,F,"Fordlândia,"
S18991,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Fordlândia,"
BE0417,Alouatta,belzebul,,,MPEG,A. belzebul,F,Ilha de Mara
SP3646,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Itaituba, Pa"
S10492,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
S10564,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
SP5289,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
SP5290,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
SP5297,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
SP5401,Alouatta,belzebul,,,MZUSP,A. belzebul,F,Lago do Bati
SP5402,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Lago do Bati
S25448,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Largo do Sou
S18965,Alouatta,belzebul,,,MZUSP,A. belzebul,M,LOC? Lago do
MP0007,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Miritiba, Ma"
MP0008,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Miritiba, Ma"
SP2879,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Miritiba, Ma"
SP3643,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Óbidos, Pa"
BE8844,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Ourém, St. F"
BE9209,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Paragominas,"
S19119,Alouatta,belzebul,,,MZUSP,A. belzebul,M,Parque Nacio
SP5329,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Piquiatuba,"
SP5574,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Piquiatuba,"
SP3644,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"R. Tapajós,"
MP1021,Alouatta,belzebul,,,MPEG,A. belzebul,M,Rio Maracuss
S24256,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Rio Tapajós,"
S13483,Alouatta,belzebul,,,MZUSP,A. belzebul,F,Santo Antôni
S19003,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Sumauma, Rio"
BE5089,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5131,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5132,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5134,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5137,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5138,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5156,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5162,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5173,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5174,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5177,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5181,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5184,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5185,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5188,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5190,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5194,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
BE5195,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5202,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5674,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5676,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5677,Alouatta,belzebul,,,MPEG,A. belzebul,M,"Taperinha, P"
BE5678,Alouatta,belzebul,,,MPEG,A. belzebul,F,"Taperinha, P"
S18935,Alouatta,belzebul,,,MZUSP,A. belzebul,M,"Taperinha, P"
390645,Alouatta,caraya,caraya,,USNM,caraya,M,12 km N Magd
390646,Alouatta,caraya,caraya,,USNM,caraya,M,12 km N Magd
390648,Alouatta,caraya,caraya,,USNM,caraya,F,12 km N Magd
390649,Alouatta,caraya,caraya,,USNM,caraya,F,12 km N Magd
390650,Alouatta,caraya,caraya,,USNM,caraya,M,12 km N Magd
BE1522,Alouatta,caraya,caraya,,MPEG,caraya,F,"Aragarças, G"
R31292,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Cáceres, MT"
RJCA74,Alouatta,caraya,caraya,,MNRJ,caraya,M,Caceres??? P
R31296,Alouatta,caraya,caraya,,MNRJ,caraya,M,Caceres???(p
113434,Alouatta,caraya,caraya,,USNM,caraya,M,"Chapada, Mat"
MP1155,Alouatta,caraya,caraya,,MPEG,caraya,M,Conceição do
SP3364,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Corumbá, Ms"
256708,Alouatta,caraya,caraya,,USNM,caraya,F,"Descalvados,"
RJ4813,Alouatta,caraya,caraya,,MNRJ,caraya,M,Fazenda Bril
R23119,Alouatta,caraya,caraya,,MNRJ,caraya,M,Fazenda Cága
R23115,Alouatta,caraya,caraya,,MNRJ,caraya,M,Fazenda Game
R23116,Alouatta,caraya,caraya,,MNRJ,caraya,M,Fazenda Game
R25698,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Garapú, Alto"
SP1930,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Itapura, Sp"
R21080,Alouatta,caraya,caraya,,MNRJ,caraya,F,Lagoa dos Po
R29054,Alouatta,caraya,caraya,,MNRJ,caraya,M,Mata da Agro
R24111,Alouatta,caraya,caraya,,MNRJ,caraya,M,Mato Grosso
SP3769,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Miranda, Ms"
R34422,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Mocambinho,"
270359,Alouatta,caraya,caraya,,USNM,caraya,F,Paraguay Riv
RJ2415,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Paratudal, m"
SP3052,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Pirapora, Mg"
SP3054,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Pirapora, Se"
SP3057,Alouatta,caraya,caraya,,MZUSP,caraya,F,"Pirapora, Se"
S11153,Alouatta,caraya,caraya,,MZUSP,caraya,M,Querência do
S11156,Alouatta,caraya,caraya,,MZUSP,caraya,F,Querência do
S19182,Alouatta,caraya,caraya,,MZUSP,caraya,M,Querência do
R23113,Alouatta,caraya,caraya,,MNRJ,caraya,F,"Rio Arraias,"
SP1402,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Rio Grande,"
SP1404,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Rio Grande,"
SP1405,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Rio Grande,"
SP1406,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Rio Grande,"
SP1407,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Rio Grande,"
390651,Alouatta,caraya,caraya,,USNM,caraya,M,Rio Itonamus
RJ0488,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Rio Jaurú, M"
RJ0491,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Rio Jaurú, M"
SP7708,Alouatta,caraya,caraya,,MZUSP,caraya,F,"Rio Pacaraí,"
RJ2428,Alouatta,caraya,caraya,,MNRJ,caraya,F,"Rio Palma, G"
RJ2426,Alouatta,caraya,caraya,,MNRJ,caraya,M,"Rio Talma, G"
SP5892,Alouatta,caraya,caraya,,MZUSP,caraya,M,"Salobra, Mt"
SP6959,Alouatta,caraya,caraya,,MZUSP,caraya,M,São Domingos
RJ5831,Alouatta,caraya,caraya,,MNRJ,caraya,M,São Luiz de
270356,Alouatta,caraya,caraya,,USNM,caraya,M,SW of São Lu
SP8465,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Anhembí, Sp"
RJ7257,Alouatta,fusca,fusca,,MNRJ,fusca,F,"Boa Fé, Tere"
S11112,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Capão Alto,"
S11116,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Capão Alto,"
SP2464,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Castro, Pr"
R23164,Alouatta,fusca,fusca,,MNRJ,fusca,F,Córrego da F
R23166,Alouatta,fusca,fusca,,MNRJ,fusca,M,Córrego do S
SP0426,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Corupá, Sc"
SP0579,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Corupá, Sc"
R25704,Alouatta,fusca,fusca,,MNRJ,fusca,M,Espirito San
SP8907,Alouatta,fusca,fusca,,MZUSP,fusca,F,Faz. Barreir
R23175,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Boca
R23172,Alouatta,fusca,fusca,,MNRJ,fusca,F,Fazenda Boca
R23174,Alouatta,fusca,fusca,,MNRJ,fusca,F,Fazenda Boca
R21137,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Dulc
R21162,Alouatta,fusca,fusca,,MNRJ,fusca,F,Fazenda Espe
R21160,Alouatta,fusca,fusca,,MNRJ,fusca,F,Fazenda Fach
R21136,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Goit
R30474,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Hara
R23165,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Mat
R23168,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Mat
S11184,Alouatta,fusca,fusca,,MZUSP,fusca,F,Fazenda Mont
S19170,Alouatta,fusca,fusca,,MZUSP,fusca,M,Fazenda Mont
S19171,Alouatta,fusca,fusca,,MZUSP,fusca,M,Fazenda Mont
S19174,Alouatta,fusca,fusca,,MZUSP,fusca,M,Fazenda Mont
S19175,Alouatta,fusca,fusca,,MZUSP,fusca,F,Fazenda Mont
S11157,Alouatta,fusca,fusca,,MZUSP,fusca,F,Fazenda Sant
R21133,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda São
RJ5105,Alouatta,fusca,fusca,,MNRJ,fusca,M,Fazenda Tapi
SP5899,Alouatta,fusca,fusca,,MZUSP,fusca,M,Fazenda Varj
SP5900,Alouatta,fusca,fusca,,MZUSP,fusca,F,Fazenda Varj
RJ3902,Alouatta,fusca,fusca,,MNRJ,fusca,F,Floresta da
S10365,Alouatta,fusca,fusca,,MZUSP,fusca,F,Horto Flores
S11186,Alouatta,fusca,fusca,,MZUSP,fusca,F,Jacinto Mach
S10410,Alouatta,fusca,fusca,,MZUSP,fusca,F,Jaraguá do S
S10411,Alouatta,fusca,fusca,,MZUSP,fusca,F,Jaraguá do S
S10413,Alouatta,fusca,fusca,,MZUSP,fusca,M,Jaraguá do S
SP1669,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Joinville, S"
SP1671,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Joinville, S"
SP1672,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Joinville, S"
RJ5106,Alouatta,fusca,fusca,,MNRJ,fusca,M,Juiz de For
RJ5155,Alouatta,fusca,fusca,,MNRJ,fusca,M,Juiz de For
SP7877,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Machacalis,"
R24101,Alouatta,fusca,fusca,,MNRJ,fusca,M,"Mambucaba, A"
R31327,Alouatta,fusca,fusca,,MNRJ,fusca,F,Mata das Moe
SP0407,Alouatta,fusca,fusca,,MZUSP,fusca,M,Paranapiacab
SP0412,Alouatta,fusca,fusca,,MZUSP,fusca,M,Paranapiacab
RJ8452,Alouatta,fusca,fusca,,MNRJ,fusca,F,Pedra Branca
S11181,Alouatta,fusca,fusca,,MZUSP,fusca,M,Praia Grande
S11111,Alouatta,fusca,fusca,,MZUSP,fusca,F,Rincão Dalva
S11119,Alouatta,fusca,fusca,,MZUSP,fusca,M,Rincão Dalva
S19124,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Rio Doce, ES"
SP2201,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Rio Doce, ES"
SP2211,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Rio Doce, ES"
SP2401,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Rio Doce, ES"
SP2402,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Rio Doce, ES"
SP2408,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Rio Doce, ES"
SP3530,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Rio Matipó,"
SP3531,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Rio Matipó,"
SP6202,Alouatta,fusca,fusca,,MZUSP,fusca,F,Santa Leopol
S11183,Alouatta,fusca,fusca,,MZUSP,fusca,F,Santa Leopol
RJ3909,Alouatta,fusca,fusca,,MNRJ,fusca,M,Santa Tereza
S19167,Alouatta,fusca,fusca,,MZUSP,fusca,F,São Francisc
S19067,Alouatta,fusca,fusca,,MZUSP,fusca,M,"São Joaquim,"
S19074,Alouatta,fusca,fusca,,MZUSP,fusca,M,"São Joaquim,"
SP5864,Alouatta,fusca,fusca,,MZUSP,fusca,F,"São Paulo, S"
SP5868,Alouatta,fusca,fusca,,MZUSP,fusca,M,"São Paulo, S"
SP6487,Alouatta,fusca,fusca,,MZUSP,fusca,M,"São Paulo, S"
SP2346,Alouatta,fusca,fusca,,MZUSP,fusca,F,"São Paulo, S"
SP0097,Alouatta,fusca,fusca,,MZUSP,fusca,F,São Sebasti
SP2734,Alouatta,fusca,fusca,,MZUSP,fusca,M,Teófilo Oton
SP2738,Alouatta,fusca,fusca,,MZUSP,fusca,F,Teófilo Oton
RJ2761,Alouatta,fusca,fusca,,MNRJ,fusca,M,"Terezópolis,"
S11124,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Viamão, RS"
S11126,Alouatta,fusca,fusca,,MZUSP,fusca,M,"Viamão, RS"
S11127,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Viamão, RS"
S11130,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Viamão, RS"
S11134,Alouatta,fusca,fusca,,MZUSP,fusca,F,"Viamão, RS"
315790,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Almirante, P"
315818,Alouatta,palliata,aequatoriali,,USNM,A. palliata,F,Boca del Dra
291962,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Chorcha, Chi"
291964,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Chorcha, Chi"
291165,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,Dos Campos F
291166,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,Dos Campos F
291168,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,Fazenda Elen
309221,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Gamboa, navy"
291146,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,Nievecita Fa
291150,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,Nievecita Fa
291105,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Palo Santo,"
291111,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,"Palo Santo,"
291113,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Palo Santo,"
291116,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,"Palo Santo,"
291117,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Palo Santo,"
291120,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,"Palo Santo,"
291121,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Palo Santo,"
291031,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,Peninsula Bu
291033,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,Peninsula Bu
291037,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,Peninsula Bu
291039,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,F,"Rio Corutu,"
335452,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,"San Blas, Ar"
310305,Alouatta,palliata,aequatoriali,,USNM,A. p. aequat,M,Tacarcuna Ma
290559,Alouatta,palliata,coibensis,,USNM,A. p. coiben,F,Coiba Island
290560,Alouatta,palliata,coibensis,,USNM,A. p. coiben,M,Coiba Island
290565,Alouatta,palliata,coibensis,,USNM,A. p. coiben,M,Coiba Island
290566,Alouatta,palliata,coibensis,,USNM,A. p. coiben,M,Coiba Island
290569,Alouatta,palliata,coibensis,,USNM,A. p. coiben,M,Coiba Island
290571,Alouatta,palliata,coibensis,,USNM,A. p. coiben,F,Coiba Island
290572,Alouatta,palliata,coibensis,,USNM,A. p. coiben,F,Coiba Island
290578,Alouatta,palliata,coibensis,,USNM,A. p. coiben,M,Coiba Island
W76718,Alouatta,palliata,mexicana,,USNM,A. p. mexica,M,Chilapa rive
W22833,Alouatta,palliata,mexicana,,USNM,A. p. mexica,F,Eastern Hond
W36906,Alouatta,palliata,mexicana,,USNM,A. p. mexica,M,Eastern Hond
100519,Alouatta,palliata,mexicana,,USNM,A. p. mexica,F,Monte Cristo
100521,Alouatta,palliata,mexicana,,USNM,A. p. mexica,F,Monte Cristo
556134,Alouatta,palliata,palliata,,USNM,A. p. pallia,F,"Guanacaste,"
337849,Alouatta,palliata,palliata,,USNM,A. p. pallia,M,Hacienda Ama
337860,Alouatta,palliata,palliata,,USNM,A. p. pallia,M,Hacienda Ama
339921,Alouatta,palliata,palliata,,USNM,A. p. pallia,M,"La Calera, 1"
284640,Alouatta,palliata,palliata,,USNM,A. p. pallia,F,"Limon, Madre"
337553,Alouatta,palliata,palliata,,USNM,A. p. pallia,M,"Matagalpa, T"
282795,Alouatta,palliata,palliata,,USNM,A. p. pallia,F,NZP - Cortez
B24545,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Alta Florest
B24546,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Alta Florest
B19707,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Alvorada D'O
S19088,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Boiuçu, Pa"
SP5095,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Boiuçu, Pa"
SP5096,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Boiuçu, Pa"
SP5473,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Boiuçu, Pa"
S10496,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Bravo, Pa"
S19123,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Bravo, Pa"
SP5094,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Bravo, Pa"
SP5471,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Bravo, Pa"
SP5480,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Bravo, Pa"
SP7113,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Bravo, Pa"
B13247,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Cachoeira Po
B13248,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Cachoeira Po
B13249,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Cachoeira Po
B21606,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Cachoeira Po
MP1161,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Cachoeira Tr
MP1168,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Cachoeira Tr
MP1212,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Cachoeira Tr
SP4310,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Colombia, Ma"
BE5210,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Curral Grand
BE7048,Alouatta,senicula,senicula,,MPEG,A. senicula,F,"Est. AM 1, k"
BE7046,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Estr. Am 1 k
BE7044,Alouatta,senicula,senicula,,MPEG,A. senicula,M,"Estr. AM 1,"
BE7057,Alouatta,senicula,senicula,,MPEG,A. senicula,F,"Estr. AM 1,"
B20215,Alouatta,senicula,senicula,,MPEG,A. senicula,F,Estrada da M
MP0874,Alouatta,senicula,senicula,,MPEG,A. senicula,F,"Faro, Boca d"
SP9955,Alouatta,senicula,senicula,,MZUSP,A. senicula,F,"Faro, Pa"
SP9956,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,"Faro, Pa"
BE1203,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Faz. Nova Ca
BE3350,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Ig. Ariramba
B23026,Alouatta,senicula,senicula,,MPEG,A. senicula,M,Ilha Grande
B22518,Alouatta,senicula,senicula,,MPEG,A. senicula,F,"Itaubal, Maz"
S19121,Alouatta,senicula,senicula,,MZUSP,A. senicula,M,Jaraquara (o
BE5212,Alouatta,senicula,senicula,,MPEG,A. senicula,M,"Óbidos, Pa"
BE5216,Alouatta,senicula,senicula,,MPEG,A. senicula,F,"Óbidos, Pa"
